Gene stable ID	Gene name	NCBI gene ID
WBGene00000764	coq-4	171966
WBGene00000765	coq-5	176099
WBGene00000766	coq-6	179316
WBGene00000767	coq-8	175647
WBGene00000768	cor-1	176440
WBGene00000770	cpb-1	176310
WBGene00000771	cpb-2	174027
WBGene00000772	cpb-3	172244
WBGene00000773	cpf-1	174378
WBGene00000774	cpf-2	176742
WBGene00000775	cpin-1	185473
WBGene00000776	cpl-1	180111
WBGene00000777	cpn-1	172660
WBGene00000778	cpn-2	173424
WBGene00000779	cpn-3	171986
WBGene00000780	cpn-4	172996
WBGene00000781	cpr-1	179637
WBGene00000782	cpr-2	185355
WBGene00000783	cpr-3	180033
WBGene00000784	cpr-4	179053
WBGene00000785	cpr-5	178612
WBGene00000786	cpr-6	180931
WBGene00000787	cps-6	172045
WBGene00000788	cpz-1	171829
WBGene00000789	cpz-2	179818
WBGene00000792	crb-1	181771
WBGene00000793	crh-1	176597
WBGene00000794	crn-1	171917
WBGene00000795	crn-2	178945
WBGene00000796	crn-3	3565889
WBGene00000797	crn-4	180536
WBGene00000798	crn-5	174634
WBGene00000799	crn-6	176316
WBGene00000800	cars-1	171821
WBGene00000801	cars-2	
WBGene00000802	crt-1	178997
WBGene00000803	csb-1	181674
WBGene00000804	csc-1	175006
WBGene00000812	csk-1	266817
WBGene00000813	csn-1	180168
WBGene00000814	csn-2	172278
WBGene00000815	csn-3	176834
WBGene00000816	csn-4	176927
WBGene00000817	csn-5	177342
WBGene00000818	csn-6	178289
WBGene00000819	csp-1	175007
WBGene00000820	csp-2	177391
WBGene00000821	csp-3	190006
WBGene00000822	csq-1	181563
WBGene00000829	ctb-1	
WBGene00000830	ctl-1	259738
WBGene00000831	ctl-2	175085
WBGene00000832	ctn-1	171818
WBGene00000833	cts-1	176437
WBGene00000834	cua-1	176770
WBGene00000835	cuc-1	176102
WBGene00000836	cul-1	176466
WBGene00000837	cul-2	176806
WBGene00000838	cul-3	178547
WBGene00000839	cul-4	174198
WBGene00000840	cul-5	179413
WBGene00000841	cul-6	178214
WBGene00000843	cup-2	172915
WBGene00000845	cup-4	176104
WBGene00000846	cup-5	176074
WBGene00000851	cut-1	174720
WBGene00000853	cut-6	176520
WBGene00000854	cux-7	176066
WBGene00000857	cwn-1	173399
WBGene00000858	cwn-2	177870
WBGene00000859	cwp-1	178876
WBGene00000860	cwp-2	183297
WBGene00000861	cwp-3	183296
WBGene00000862	cwp-4	178894
WBGene00000863	cya-1	176287
WBGene00000864	cya-2	186646
WBGene00000865	cyb-1	177965
